 
****************************************
Report : timing
        -path full
        -delay max
        -max_paths 1
Design : fully_serial_64_12_20
Version: R-2020.09-SP5-3
Date   : Wed Nov 29 16:35:57 2023
****************************************

Operating Conditions: NCCOM   Library: tcbn90gtc
Wire Load Model Mode: segmented

  Startpoint: i_reg_reg[0]
              (rising edge-triggered flip-flop clocked by clk)
  Endpoint: feedback_reg_reg[111]
            (rising edge-triggered flip-flop clocked by clk)
  Path Group: clk
  Path Type: max

  Des/Clust/Port     Wire Load Model       Library
  ------------------------------------------------
  fully_serial_64_12_20
                     TSMC8K_Lowk_Aggresive tcbn90gtc
  fully_serial_64_12_20_DW01_inc_0
                     ZeroWireload          tcbn90gtc
  MAC_64_12_20_6_10_DW_mult_tc_0
                     ZeroWireload          tcbn90gtc
  MAC_64_12_20_6_10  ZeroWireload          tcbn90gtc
  MAC_64_12_20_6_10_DW01_add_0
                     ZeroWireload          tcbn90gtc

  Point                                                   Incr       Path
  --------------------------------------------------------------------------
  clock clk (rise edge)                                   0.00       0.00
  clock network delay (ideal)                             0.00       0.00
  i_reg_reg[0]/CP (DFCNQD1)                               0.00       0.00 r
  i_reg_reg[0]/Q (DFCNQD1)                                0.18       0.18 r
  U848/ZN (INVD1)                                         0.03       0.21 f
  U980/ZN (NR2D0)                                         0.13       0.35 r
  U1005/Z (AN2D0)                                         0.09       0.43 r
  U667/Z (BUFFD0)                                         0.06       0.49 r
  U564/Z (BUFFD0)                                         0.07       0.57 r
  U315/Z (BUFFD0)                                         0.23       0.80 r
  U1491/ZN (AOI22D0)                                      0.07       0.86 f
  U1493/ZN (ND4D0)                                        0.06       0.92 r
  U1494/ZN (OAI21D0)                                      0.04       0.96 f
  U1495/ZN (ND4D0)                                        0.05       1.01 r
  U705/Z (AN2D0)                                          0.41       1.41 r
  mac/weights[5] (MAC_64_12_20_6_10)                      0.00       1.41 r
  mac/mult_11/b[5] (MAC_64_12_20_6_10_DW_mult_tc_0)       0.00       1.41 r
  mac/mult_11/U1068/ZN (INVD1)                            0.08       1.49 f
  mac/mult_11/U1298/ZN (XNR2D0)                           0.12       1.61 f
  mac/mult_11/U1014/Z (AN3D1)                             0.06       1.67 f
  mac/mult_11/U993/Z (BUFFD0)                             0.09       1.76 f
  mac/mult_11/U978/ZN (INVD1)                             0.12       1.88 r
  mac/mult_11/U1202/ZN (OAI22D0)                          0.05       1.93 f
  mac/mult_11/U1201/ZN (AOI221D0)                         0.16       2.09 r
  mac/mult_11/U1200/ZN (XNR2D0)                           0.15       2.24 r
  mac/mult_11/U233/CO (CMPE22D1)                          0.05       2.29 r
  mac/mult_11/U231/CO (CMPE32D1)                          0.05       2.35 r
  mac/mult_11/U229/CO (CMPE32D1)                          0.05       2.40 r
  mac/mult_11/U227/CO (CMPE32D1)                          0.05       2.44 r
  mac/mult_11/U225/S (CMPE42D1)                           0.09       2.53 r
  mac/mult_11/U116/CO (CMPE32D1)                          0.10       2.64 r
  mac/mult_11/U115/CO (CMPE32D1)                          0.05       2.69 r
  mac/mult_11/U114/CO (CMPE32D1)                          0.05       2.74 r
